,anime_id,name,genre,type,episodes,rating,members
579,5485,Shin Mazinger Shougeki! Z-hen,Action,TV,26,7.96,7872
579,5485,Shin Mazinger Shougeki! Z-hen, Mecha,TV,26,7.96,7872
579,5485,Shin Mazinger Shougeki! Z-hen, Shounen,TV,26,7.96,7872
579,5485,Shin Mazinger Shougeki! Z-hen, Super Power,TV,26,7.96,7872
4337,21569,Pokemon XY: Hakai no Mayu to Diancie,Adventure,Movie,1,6.75,9290
4337,21569,Pokemon XY: Hakai no Mayu to Diancie, Fantasy,Movie,1,6.75,9290
4337,21569,Pokemon XY: Hakai no Mayu to Diancie, Kids,Movie,1,6.75,9290
4876,9943,Ore-sama Kingdom,Romance,OVA,14,6.61,1846
4876,9943,Ore-sama Kingdom, Shoujo,OVA,14,6.61,1846
10232,22657,Shin Seikimatsu: Yatsuto no Souguu,Comedy,ONA,5,4.9,73
10232,22657,Shin Seikimatsu: Yatsuto no Souguu, Sci-Fi,ONA,5,4.9,73
2935,4773,Yamato Takeru,Action,TV,37,7.13,883
2935,4773,Yamato Takeru, Adventure,TV,37,7.13,883
2935,4773,Yamato Takeru, Fantasy,TV,37,7.13,883
2935,4773,Yamato Takeru, Magic,TV,37,7.13,883
2935,4773,Yamato Takeru, Mecha,TV,37,7.13,883
2935,4773,Yamato Takeru, Sci-Fi,TV,37,7.13,883
2935,4773,Yamato Takeru, Shounen,TV,37,7.13,883
2935,4773,Yamato Takeru, Space,TV,37,7.13,883
1259,9181,Motto To LOVE-Ru,Comedy,TV,12,7.61,134988
1259,9181,Motto To LOVE-Ru, Ecchi,TV,12,7.61,134988
1259,9181,Motto To LOVE-Ru, Harem,TV,12,7.61,134988
1259,9181,Motto To LOVE-Ru, School,TV,12,7.61,134988
1259,9181,Motto To LOVE-Ru, Sci-Fi,TV,12,7.61,134988
1259,9181,Motto To LOVE-Ru, Shounen,TV,12,7.61,134988
10350,16163,Sore Ike! Anpanman: Kirakira Boshi no Namida,Adventure,Movie,1,6.07,121
10350,16163,Sore Ike! Anpanman: Kirakira Boshi no Namida, Comedy,Movie,1,6.07,121
10350,16163,Sore Ike! Anpanman: Kirakira Boshi no Namida, Kids,Movie,1,6.07,121
10350,16163,Sore Ike! Anpanman: Kirakira Boshi no Namida, Super Power,Movie,1,6.07,121
8627,21525,Geba Geba Shou Time!,Comedy,OVA,1,5.0,50
4490,2067,Gekiganger 3: The Movie,Action,OVA,1,6.71,2562
4490,2067,Gekiganger 3: The Movie, Comedy,OVA,1,6.71,2562
4490,2067,Gekiganger 3: The Movie, Mecha,OVA,1,6.71,2562
4490,2067,Gekiganger 3: The Movie, Parody,OVA,1,6.71,2562
4490,2067,Gekiganger 3: The Movie, Sci-Fi,OVA,1,6.71,2562
4490,2067,Gekiganger 3: The Movie, Shounen,OVA,1,6.71,2562
4680,32214,Koukaku no Pandora,Action,TV,12,6.66,25545
4680,32214,Koukaku no Pandora, Comedy,TV,12,6.66,25545
4680,32214,Koukaku no Pandora, Ecchi,TV,12,6.66,25545
4680,32214,Koukaku no Pandora, Sci-Fi,TV,12,6.66,25545
11909,2344,Choujin Densetsu Urotsukidouji: Inferno Road,Demons,OVA,3,5.91,1210
11909,2344,Choujin Densetsu Urotsukidouji: Inferno Road, Fantasy,OVA,3,5.91,1210
11909,2344,Choujin Densetsu Urotsukidouji: Inferno Road, Hentai,OVA,3,5.91,1210
11909,2344,Choujin Densetsu Urotsukidouji: Inferno Road, Horror,OVA,3,5.91,1210
11909,2344,Choujin Densetsu Urotsukidouji: Inferno Road, Sci-Fi,OVA,3,5.91,1210
4539,472,To Heart,Drama,TV,13,6.7,16757
4539,472,To Heart, Harem,TV,13,6.7,16757
4539,472,To Heart, Romance,TV,13,6.7,16757
4539,472,To Heart, School,TV,13,6.7,16757
4539,472,To Heart, Slice of Life,TV,13,6.7,16757
9073,10236,Kagee Grimm Douwa,Adventure,TV,52,5.94,129
9073,10236,Kagee Grimm Douwa, Demons,TV,52,5.94,129
9073,10236,Kagee Grimm Douwa, Drama,TV,52,5.94,129
9073,10236,Kagee Grimm Douwa, Fantasy,TV,52,5.94,129
9073,10236,Kagee Grimm Douwa, Historical,TV,52,5.94,129
9073,10236,Kagee Grimm Douwa, Kids,TV,52,5.94,129
9073,10236,Kagee Grimm Douwa, Magic,TV,52,5.94,129
9073,10236,Kagee Grimm Douwa, Romance,TV,52,5.94,129
9073,10236,Kagee Grimm Douwa, Supernatural,TV,52,5.94,129
2921,3136,Ochamegami Monogatari: Korokoro Pollon,Comedy,TV,46,7.13,1049
2921,3136,Ochamegami Monogatari: Korokoro Pollon, Magic,TV,46,7.13,1049
2921,3136,Ochamegami Monogatari: Korokoro Pollon, Parody,TV,46,7.13,1049
3025,11355,"Kono Danshi, Uchuujin to Tatakaemasu.",Action,OVA,1,7.1,12732
3025,11355,"Kono Danshi, Uchuujin to Tatakaemasu.", Fantasy,OVA,1,7.1,12732
3025,11355,"Kono Danshi, Uchuujin to Tatakaemasu.", Shounen Ai,OVA,1,7.1,12732
3025,11355,"Kono Danshi, Uchuujin to Tatakaemasu.", Super Power,OVA,1,7.1,12732
3025,11355,"Kono Danshi, Uchuujin to Tatakaemasu.", Supernatural,OVA,1,7.1,12732
3175,9712,Maria†Holic Alive,Comedy,TV,12,7.06,40502
3175,9712,Maria†Holic Alive, Parody,TV,12,7.06,40502
3175,9712,Maria†Holic Alive, School,TV,12,7.06,40502
3175,9712,Maria†Holic Alive, Shoujo Ai,TV,12,7.06,40502
2766,2011,Taiho Shichau zo Special,Action,TV,20,7.17,2856
2766,2011,Taiho Shichau zo Special, Comedy,TV,20,7.17,2856
2766,2011,Taiho Shichau zo Special, Police,TV,20,7.17,2856
2766,2011,Taiho Shichau zo Special, Shounen,TV,20,7.17,2856
10618,12903,Tsushima Maru: Sayounara Okinawa,Historical,Movie,1,7.09,120
7701,29766,Playground,Dementia,Movie,1,5.11,195
11338,4590,Soukan Yuugi,Hentai,OVA,2,6.8,4491
8564,23971,Fuku-chan no Zousan Butai,Comedy,Movie,1,7.4,68
8564,23971,Fuku-chan no Zousan Butai, Historical,Movie,1,7.4,68
12189,7162,Yaruki Manman,Comedy,OVA,3,5.31,251
12189,7162,Yaruki Manman, Hentai,OVA,3,5.31,251
12189,7162,Yaruki Manman, Parody,OVA,3,5.31,251
5690,19351,Nijiiro☆Prism Girl,Comedy,OVA,4,6.38,1390
5690,19351,Nijiiro☆Prism Girl, Romance,OVA,4,6.38,1390
5690,19351,Nijiiro☆Prism Girl, School,OVA,4,6.38,1390
5690,19351,Nijiiro☆Prism Girl, Shoujo,OVA,4,6.38,1390
3424,5830,Tsurupika Hagemaru-kun,Comedy,TV,59,7.0,322
3424,5830,Tsurupika Hagemaru-kun, Kids,TV,59,7.0,322
8655,30042,Geori-eui Mubeopja,Action,Movie,1,5.53,179
8655,30042,Geori-eui Mubeopja, Martial Arts,Movie,1,5.53,179
6819,6787,Goulart Knights: Evoked the Beginning Black,Action,OVA,1,5.91,8002
6819,6787,Goulart Knights: Evoked the Beginning Black, Drama,OVA,1,5.91,8002
6819,6787,Goulart Knights: Evoked the Beginning Black, Fantasy,OVA,1,5.91,8002
6819,6787,Goulart Knights: Evoked the Beginning Black, Shoujo,OVA,1,5.91,8002
6819,6787,Goulart Knights: Evoked the Beginning Black, Supernatural,OVA,1,5.91,8002
6307,310,"Chiisana Obake Acchi, Kocchi, Socchi",Comedy,TV,50,6.17,1226
6307,310,"Chiisana Obake Acchi, Kocchi, Socchi", Supernatural,TV,50,6.17,1226
5152,21679,"Saikin, Imouto no Yousu ga Chotto Okashiinda ga. OVA",Comedy,OVA,1,6.54,14564
5152,21679,"Saikin, Imouto no Yousu ga Chotto Okashiinda ga. OVA", Ecchi,OVA,1,6.54,14564
5152,21679,"Saikin, Imouto no Yousu ga Chotto Okashiinda ga. OVA", Romance,OVA,1,6.54,14564
5152,21679,"Saikin, Imouto no Yousu ga Chotto Okashiinda ga. OVA", Shounen,OVA,1,6.54,14564
5152,21679,"Saikin, Imouto no Yousu ga Chotto Okashiinda ga. OVA", Supernatural,OVA,1,6.54,14564
5715,2760,Densetsu Kyojin Ideon: Sesshoku-hen,Drama,Movie,1,6.37,1740
5715,2760,Densetsu Kyojin Ideon: Sesshoku-hen, Mecha,Movie,1,6.37,1740
5715,2760,Densetsu Kyojin Ideon: Sesshoku-hen, Sci-Fi,Movie,1,6.37,1740
5715,2760,Densetsu Kyojin Ideon: Sesshoku-hen, Space,Movie,1,6.37,1740
4640,2638,Doraemon: It&#039;s Spring!,Adventure,Special,1,6.67,476
4640,2638,Doraemon: It&#039;s Spring!, Comedy,Special,1,6.67,476
4640,2638,Doraemon: It&#039;s Spring!, Fantasy,Special,1,6.67,476
4640,2638,Doraemon: It&#039;s Spring!, Kids,Special,1,6.67,476
4640,2638,Doraemon: It&#039;s Spring!, Shounen,Special,1,6.67,476
7167,2220,Be-Boy Kidnapp&#039;n Idol,Drama,OVA,1,5.67,4311
7167,2220,Be-Boy Kidnapp&#039;n Idol, Shounen Ai,OVA,1,5.67,4311
103,11917,Major: World Series,Comedy,OVA,2,8.5,13405
103,11917,Major: World Series, Drama,OVA,2,8.5,13405
103,11917,Major: World Series, Sports,OVA,2,8.5,13405
5180,576,Magikano,Comedy,TV,13,6.53,22664
5180,576,Magikano, Fantasy,TV,13,6.53,22664
5180,576,Magikano, Harem,TV,13,6.53,22664
5180,576,Magikano, Magic,TV,13,6.53,22664
5180,576,Magikano, Romance,TV,13,6.53,22664
5180,576,Magikano, Shounen,TV,13,6.53,22664
11595,3308,Heartwork: Symphony of Destruction,Action,OVA,3,6.38,2197
11595,3308,Heartwork: Symphony of Destruction, Hentai,OVA,3,6.38,2197
10157,28693,Seisho Gensou Fu: Adam to Eve,Historical,Movie,1,6.0,61
5064,6492,Minky Momo in Tabidachi no Eki,Drama,OVA,1,6.56,400
5064,6492,Minky Momo in Tabidachi no Eki, Fantasy,OVA,1,6.56,400
5064,6492,Minky Momo in Tabidachi no Eki, Magic,OVA,1,6.56,400
5064,6492,Minky Momo in Tabidachi no Eki, Shoujo,OVA,1,6.56,400
3680,15633,Code:Breaker OVA,Action,OVA,3,6.91,17814
3680,15633,Code:Breaker OVA, Comedy,OVA,3,6.91,17814
3680,15633,Code:Breaker OVA, Ecchi,OVA,3,6.91,17814
3680,15633,Code:Breaker OVA, School,OVA,3,6.91,17814
3680,15633,Code:Breaker OVA, Shounen,OVA,3,6.91,17814
3680,15633,Code:Breaker OVA, Super Power,OVA,3,6.91,17814
3680,15633,Code:Breaker OVA, Supernatural,OVA,3,6.91,17814
5324,1193,Happy Seven: The TV Manga,Comedy,TV,13,6.49,3287
5324,1193,Happy Seven: The TV Manga, Fantasy,TV,13,6.49,3287
5374,1903,Stratos 4: Logbook,Action,Special,1,6.48,1090
5374,1903,Stratos 4: Logbook, Ecchi,Special,1,6.48,1090
5374,1903,Stratos 4: Logbook, Sci-Fi,Special,1,6.48,1090
8845,4417,Hennako-chan,Comedy,ONA,6,6.04,129
10051,29935,Qin Shiming Yue Zhi: Tian Xing Jiu Ge,Action,ONA,3,7.07,194
10051,29935,Qin Shiming Yue Zhi: Tian Xing Jiu Ge, Fantasy,ONA,3,7.07,194
